+--------+------------------------+----------------+-------------+------------------+----------+
| number |       source_ip        | destination_ip | source_port | destination_port | protocol |
+--------+------------------------+----------------+-------------+------------------+----------+
| 1      |     10.162.93.144      | 202.120.2.100  |    46333    |        53        |   DNS    |
| 2      |     10.162.93.144      | 202.120.2.100  |    46333    |        53        |   DNS    |
| 3      |     202.120.2.100      | 10.162.93.144  |      53     |      46333       |   DNS    |
| 4      |     202.120.2.100      | 10.162.93.144  |      53     |      46333       |   DNS    |
| 5      |     10.162.93.144      | 202.120.2.100  |    46333    |        53        |   DNS    |
| 6      |     10.162.93.144      | 202.120.2.100  |    46333    |        53        |   DNS    |
| 7      |     202.120.2.100      | 10.162.93.144  |      53     |      46333       |   DNS    |
| 8      |     202.120.2.100      | 10.162.93.144  |      53     |      46333       |   DNS    |
| 9      |     10.162.93.144      |  47.91.167.48  |    46660    |       1313       |   tcp    |
| 10     | fe80::1a:1e02:5a03:2c8 |    ff02::1     |      -1     |        -1        |  icmp6   |
| 11     |     104.20.44.115      | 10.162.93.144  |     443     |      58752       |  HTTPS   |
| 12     |     10.162.93.144      | 104.20.44.115  |    58752    |       443        |  HTTPS   |
| 13     |     10.162.93.144      |  47.91.167.48  |    46660    |       1313       |   tcp    |
| 14     |     104.20.44.115      | 10.162.93.144  |     443     |      58752       |  HTTPS   |
| 15     |     10.162.93.144      | 202.120.2.100  |    46333    |        53        |   DNS    |
| 16     |     10.162.93.144      | 202.120.2.100  |    46333    |        53        |   DNS    |
| 17     |     202.120.2.100      | 10.162.93.144  |      53     |      46333       |   DNS    |
| 18     |     202.120.2.100      | 10.162.93.144  |      53     |      46333       |   DNS    |
| 19     |     10.162.93.144      |  47.91.167.48  |    46660    |       1313       |   tcp    |
| 20     | fe80::1a:1e02:5a03:2c8 |    ff02::1     |      -1     |        -1        |  icmp6   |
| 21     |     10.162.93.144      | 202.120.2.101  |    46333    |        53        |   DNS    |
+--------+------------------------+----------------+-------------+------------------+----------+
